outcome,coef,se,pval,nobs,treated,clusters
ln_ntl,0.049123120646979566,0.01527512825222414,0.0013004823527928977,622868,2065,1481
no2_intensity,-0.0389148991021575,0.01929301900336569,0.04369125349525582,585141,1852,1362
pm25_intensity,-0.04359788787378922,0.015140877334407509,0.003983435161549531,620805,2065,1468
