country_code,year,total_resource_rents_gdp,oil_rents_gdp,mineral_rents_gdp
ABW,1960,,,
ABW,1961,,,
ABW,1962,,,
ABW,1963,,,
ABW,1964,,,
ABW,1965,,,
ABW,1966,,,
ABW,1967,,,
ABW,1968,,,
ABW,1969,,,
ABW,1970,,,
ABW,1971,,,
ABW,1972,,,
ABW,1973,,,
ABW,1974,,,
ABW,1975,,,
ABW,1976,,,
ABW,1977,,,
ABW,1978,,,
ABW,1979,,,
ABW,1980,,,
ABW,1981,,,
ABW,1982,,,
ABW,1983,,,
ABW,1984,,,
ABW,1985,,,
ABW,1986,0.00087802987012987,0.0,0.0
ABW,1987,0.000734242709867452,0.0,0.0
ABW,1988,0.000575055457463885,0.0,0.0
ABW,1989,0.000491267194492255,0.0,0.0
ABW,1990,0.00155226229781905,0.0,0.0
ABW,1991,0.00163386762871304,0.0,0.0
ABW,1992,0.00137919973940525,0.0,0.0
ABW,1993,0.000925240173915881,0.0,0.0
ABW,1994,0.000937261565324962,0.0,0.0
ABW,1995,0.00116658771218565,0.0,0.0
ABW,1996,0.00081940211530906,0.0,0.0
ABW,1997,0.00100250493075445,0.0,0.0
ABW,1998,0.000848352981616005,0.0,0.0
ABW,1999,0.000717901853338623,0.0,0.0
ABW,2000,0.00166277142064697,0.000959488886147264,0.0
ABW,2001,0.0014191795529938,0.000698232167894007,0.0
ABW,2002,0.00137100806940249,0.000720702919318894,0.0
ABW,2003,0.00145277793252244,0.000760651086559827,0.0
ABW,2004,0.00158368130684963,0.000906166596082593,0.0
ABW,2005,0.00197275799182091,0.00131405293432615,0.0
ABW,2006,0.002449482525579,0.00152577280324417,0.0
ABW,2007,0.00243696444079606,0.00153973985727839,0.0
ABW,2008,0.00287298171598646,0.00195640008459108,0.0
ABW,2009,0.0020412189607002,0.00109429704736333,0.0
ABW,2010,0.00387013761309746,0.00156960653691674,0.0
ABW,2011,0.00380977060432498,0.00192689765446378,0.0
ABW,2012,0.00340775585550675,0.00149030629815309,0.0
ABW,2013,0.00245165331607624,0.0,0.0
ABW,2014,0.00323517161852513,0.0,0.0
ABW,2015,0.00238765944448716,0.0,0.0
ABW,2016,0.0033437423337293,0.0,0.0
ABW,2017,0.00282719063862959,0.0,0.0
ABW,2018,0.00188469168678285,0.0,0.0
ABW,2019,0.00168011577104813,0.0,0.0
ABW,2020,0.00303719334778541,0.0,0.0
ABW,2021,0.0020661282461218,0.0,0.0
ABW,2022,,,
ABW,2023,,,
ABW,2024,,,
ABW,2025,,,
AFE,1960,,,
AFE,1961,,,
AFE,1962,,,
AFE,1963,,,
AFE,1964,,,
AFE,1965,,,
AFE,1966,,,
AFE,1967,,,
AFE,1968,,,
AFE,1969,,,
AFE,1970,5.15340759088059,,3.58860545099189
AFE,1971,4.14799865862706,0.0,2.20387104099134
AFE,1972,3.9508180317708,0.0,2.02681329072802
AFE,1973,5.65831005022979,0.0,3.48342948777649
AFE,1974,6.29121429444192,0.0,3.85662465118898
AFE,1975,5.16494007957809,0.000250277616478934,1.43977211326113
AFE,1976,5.72117341053043,0.103168693230824,1.70026245748958
AFE,1977,6.18367428662471,0.102529682240879,1.4063786149016
AFE,1978,5.34823960892053,0.064071526581643,0.938531422770382
AFE,1979,7.47813819146084,0.169497690087684,3.15249263196719
AFE,1980,11.516802592917,0.859447798274339,6.60888868987278
AFE,1981,9.30345092145679,0.423703456742725,3.67874291232189
AFE,1982,9.44186168986529,0.194024279040575,2.56745398215664
AFE,1983,8.19684035263133,0.578345890398442,3.26146130277442
AFE,1984,6.05246832444664,0.827560981608319,0.840022640975383
AFE,1985,8.74268917604163,1.18197211294809,2.37000190099701
AFE,1986,7.52506466664016,0.417850382342611,2.03890833497711
AFE,1987,7.11466373934369,0.898189848224511,2.39943468818978
AFE,1988,7.91043624440679,0.767014497693606,3.08501566442254
AFE,1989,7.95146543853644,1.29008154657163,2.45016155823969
AFE,1990,7.30507165633824,1.54044703363483,1.51626729890791
AFE,1991,6.03200067079891,0.792518822181463,1.3206804953344
AFE,1992,6.78600166348251,1.21891810278067,1.12381167485998
AFE,1993,6.28145702846625,1.19966913608006,1.22841241730146
AFE,1994,6.91810552882986,1.04663397266175,1.48108332893386
AFE,1995,7.3768175277444,1.15775423968895,0.548998225692086
AFE,1996,7.91189755842457,1.47381055146331,0.910766205005788
AFE,1997,6.76712534875659,1.34618810486856,0.575225015403103
AFE,1998,6.06447514998931,0.716440594011167,0.416524661748359
AFE,1999,4.95795041515167,1.2640328333756,0.306184071166978
AFE,2000,6.79427548865936,2.90013736388298,0.48306266536069
AFE,2001,7.13522486498834,2.37588358007371,0.510273513254176
AFE,2002,7.89407464206872,3.05099295185254,0.606819415209197
AFE,2003,7.2995521207375,2.35733862066723,0.230903544433628
AFE,2004,8.23755974901512,3.12418440617648,0.405895879740158
AFE,2005,9.50721830298341,4.88374999316467,0.701883374740519
AFE,2006,10.7436447369756,5.69898938300066,1.3242848300908
AFE,2007,12.8939205891036,6.8502297342168,1.51561367973106
AFE,2008,18.7710770617454,10.6323403343923,1.56845460133273
AFE,2009,10.2070601334327,4.94720096886122,0.991235957911243
AFE,2010,12.0272921636119,6.11170340930816,1.75042021270454
AFE,2011,13.8327602240159,7.25808676225312,2.04906064380755
AFE,2012,11.6995532431167,5.82868451464021,1.59805729764158
