Definition,LowRent_Base,LowRent_p,HighRent_Diff,HighRent_Diff_SE,HighRent_Diff_p,Total_HighRent
Above Median Total Rents,0.014723202045924314,0.16625134880250148,0.028347656665622088,0.02094056785451684,0.17582620190785025,0.0430708587115464
Top Tercile Total Rents,0.023488964874891022,0.021350083347240645,0.014382914827799843,0.02569372728796565,0.5756275188470423,0.03787187970269086
Top Quartile Total Rents,0.014455229779629087,0.15119634855847153,0.05896038190753074,0.030016773225944995,0.04950166681359436,0.07341561168715982
Top Quartile Oil Rents,0.032386175545388085,0.000987505467633376,-0.022600452140176308,0.03388609385445187,0.5048019468915546,0.009785723405211777
Top Quartile Mineral Rents,0.015719575114658303,0.16993684619363503,0.05826661705729343,0.02637534903910941,0.027165741165363855,0.07398619217195174
Pre-2007 Top Quartile Total,0.018856610159835155,0.06587932078646941,0.03800884981226003,0.02942900477502067,0.19651549759535736,0.05686545997209518
