coef,se,pval,nobs,treated,clusters,spec
0.04242670649280084,0.018091984340878216,0.019024768275814674,407674,1062,369,NTL high-dem
0.0656802157034189,0.02902483039912786,0.023643155713100494,202990,960,295,NTL low-dem
-0.021131598866792077,0.02262532376261543,0.3503148618421186,391030,985,367,NO2 int high-dem
-0.08113154586542942,0.037604464335647105,0.03096831585104276,184740,829,294,NO2 int low-dem
-0.03590283199842264,0.017735920138617283,0.04293995103967041,406731,1062,369,PM25 int high-dem
-0.06239652745394929,0.02912420457098852,0.03216030871636599,202333,960,295,PM25 int low-dem
