bin,coef,se,pval,nobs,treated,clusters,regions,countries
2014-2016,0.006175408250295939,0.01027112740254879,0.5476819575302847,135837,475,402,45881,235
2017-2019,0.005807429289921952,0.00763278701013531,0.4467468180203429,137921,338,490,46389,235
2020-2022,-0.0041324795654431035,0.015846141431094748,0.7942567777712726,139098,195,584,46729,235
2023-2024,0.0037619560085124593,0.013131110883796685,0.7745027390551056,93318,47,473,46845,237
