bin,coef,se,pval,nobs,treated
1992-1996,-0.014806917591868711,0.021366299983488372,0.4883082904625089,239575,787
1997-2001,0.04514669417147371,0.025027443607580534,0.07125051493948842,239575,805
2002-2006,-4.6754541532495306e-05,0.019954917638494243,0.9981305538607217,239575,807
2007-2011,0.013428098545406424,0.02121137837195462,0.5266945034588137,239548,798
2012-2013,0.014842743733423182,0.017448508587104037,0.3949626886691773,95830,325
