step,coef,se,p,n,treated
A. our paper spec,0.0426425522482087,0.014095695760751639,0.0024846029480309895,1054103,3522
B. + lag 1,0.04249234470712727,0.014054266000276164,0.002499181657294569,1054103,3516
C. + 1992-2019,0.07302391519111832,0.017032079760998384,1.8076223360585786e-05,1337808,4413
D. + country cluster,0.07302391519111832,0.02110185798725175,0.0005391019656930673,1337808,4413
E. + drop archigos filter,0.027289435740165315,0.02002481168876374,0.17295173529251984,1337808,4507
F. + orig gid_2 (3.6 match),0.03130763649043201,0.02325478334673656,0.17820988204937138,1337808,3484
