Sample,Coef,SE,p-value,N
All countries,0.04175865826507967,0.01423075434538909,0.0033420595108077933,1046044
Excluding top-quartile mineral-rent countries,0.028185706988652345,0.015024047493549233,0.06065027723192484,720990
Only top-quartile mineral-rent countries,0.08210259535393151,0.034529783259061295,0.017420051342687648,325054
SSA only,0.125071291252835,0.0309653368992059,5.3706879889814374e-05,95766
SSA excluding top-quartile mineral-rent countries,0.11546049956439586,0.04118833151542326,0.005060908592923852,64438
SSA top-quartile mineral-rent countries,0.1384573014438617,0.04703267791649265,0.003244058415726725,31328
Non-SSA top-quartile mineral-rent countries,0.04764158672991623,0.04731654106264793,0.31399831384607446,293726
Non-SSA excluding top-quartile mineral-rent countries,0.009311385272085602,0.015704534612812748,0.5532411887317248,656552
