Spec,coef,se,pval,nobs,treated
Lag 0,0.004108159915786552,0.009480646749215624,0.6647819965930135,669438,1701
Lag 1,0.01218717973840597,0.00783530741200999,0.11984701406227072,669438,1624
Lag 2,0.017512239962239724,0.007439646255707344,0.01857753843149479,669438,1532
