spec,outcome,start,end,coef,leader_spell_se,leader_spell_p,country_se,country_p,nobs,leader_spell_clusters,country_clusters,treated
"Nightlights, DMSP 1992--2013",ln_ntl,1992,2013,0.012785021407874853,0.005879329453893767,0.029662512451470446,0.007467301699480012,0.08687231437856546,951915,2723,235,2522
"Nightlights, DMSP 2005--2013",ln_ntl,2005,2013,0.0017228827818635255,0.005849130934794733,0.7683350593703056,0.008124155489131918,0.8320532072339428,398636,1186,235,1068
"Nightlights, harmonized 2005--2019",ln_ntl,2005,2019,0.0003647080144050799,0.008655065007791654,0.9663886194720157,0.010683583221761892,0.9727677257782155,671399,1923,236,1701
"NO2, 2005--2019",ln_no2,2005,2019,0.03076436332330951,0.015351175458929204,0.045066283120189565,0.02042686143392051,0.13204874149354273,631362,1757,225,1540
"NO2 intensity, 2005--2019",no2_intensity,2005,2019,0.033318715349632856,0.017904544909336566,0.06275763891471553,0.023867246919348738,0.16271454064006496,631362,1757,225,1540
