bin,coef,se,pval,nobs,treated_total,clusters
2012-2016,-0.038457591291783604,0.01299443510992501,0.003080955618161348,596808,1066,2068
2017-2021,-0.005957448600028149,0.014180671115843714,0.6744047445106331,596808,1066,2068
2022-2024,0.0016494982377310355,0.0291031189219567,0.9548019274805921,596808,1066,2068
